attack_method,epsilon,epsilon_label,defense_name,defense_label,blur_kernel,quant_levels,n_samples,clean_accuracy_with_defense,defended_accuracy_after_attack,recovered_after_defense,n_samples_base,clean_accuracy_no_defense,attacked_accuracy_no_defense,attack_success_rate,broken_before_defense,recovery_gain_abs,recovery_gain_pct_points,clean_drop_abs,clean_drop_pct_points,recovered_share_among_broken,attack_gen_ms_per_roi,defense_ms_per_roi,defense_infer_ms_per_roi
BIM,0.00784313725490196,2/255,blur_3_quant_32,Blur 3x3 + Quant 32,3.0,32.0,421,0.997624703087886,0.9548693586698337,284,421,1.0,0.28028503562945367,0.7197149643705463,303,0.6745843230403801,67.45843230403801,0.002375296912114022,0.23752969121140222,0.9372937293729373,2.4530895488063478,0.03503420433879005,0.15740166259254826
BIM,0.00784313725490196,2/255,blur_3_quant_64,Blur 3x3 + Quant 64,3.0,64.0,421,1.0,0.9501187648456056,282,421,1.0,0.28028503562945367,0.7197149643705463,303,0.669833729216152,66.9833729216152,0.0,0.0,0.9306930693069307,2.4530895488063478,0.03801781469579972,0.15179049890076923
BIM,0.00784313725490196,2/255,blur_5_quant_32,Blur 5x5 + Quant 32,5.0,32.0,421,0.995249406175772,0.9691211401425178,290,421,1.0,0.28028503562945367,0.7197149643705463,303,0.6888361045130642,68.88361045130642,0.004750593824228044,0.47505938242280443,0.9570957095709571,2.4530895488063478,0.03412375294364493,0.1522410924921383
BIM,0.00784313725490196,2/255,blur_5_quant_64,Blur 5x5 + Quant 64,5.0,64.0,421,0.9928741092636579,0.9691211401425178,290,421,1.0,0.28028503562945367,0.7197149643705463,303,0.6888361045130642,68.88361045130642,0.0071258907363420665,0.7125890736342066,0.9570957095709571,2.4530895488063478,0.03754536820644172,0.14905866992885508
BIM,0.01568627450980392,4/255,blur_3_quant_32,Blur 3x3 + Quant 32,3.0,32.0,421,0.997624703087886,0.9311163895486936,385,421,1.0,0.0166270783847981,0.9833729216152018,414,0.9144893111638954,91.44893111638955,0.002375296912114022,0.23752969121140222,0.9299516908212561,2.314462232864694,0.035726603268780646,0.1526812351122941
BIM,0.01568627450980392,4/255,blur_3_quant_64,Blur 3x3 + Quant 64,3.0,64.0,421,1.0,0.9002375296912114,372,421,1.0,0.0166270783847981,0.9833729216152018,414,0.8836104513064134,88.36104513064133,0.0,0.0,0.8985507246376812,2.314462232864694,0.03505605716764874,0.15512897862251981
BIM,0.01568627450980392,4/255,blur_5_quant_32,Blur 5x5 + Quant 32,5.0,32.0,421,0.995249406175772,0.9548693586698337,395,421,1.0,0.0166270783847981,0.9833729216152018,414,0.9382422802850356,93.82422802850357,0.004750593824228044,0.47505938242280443,0.9541062801932367,2.314462232864694,0.036823040376596526,0.15106033260055823
BIM,0.01568627450980392,4/255,blur_5_quant_64,Blur 5x5 + Quant 64,5.0,64.0,421,0.9928741092636579,0.9477434679334917,392,421,1.0,0.0166270783847981,0.9833729216152018,414,0.9311163895486936,93.11163895486936,0.0071258907363420665,0.7125890736342066,0.9468599033816425,2.314462232864694,0.035235154466822995,0.1615418052503224
BIM,0.03137254901960784,8/255,blur_3_quant_32,Blur 3x3 + Quant 32,3.0,32.0,421,0.997624703087886,0.8527315914489311,357,421,1.0,0.004750593824228029,0.995249406175772,419,0.847980997624703,84.7980997624703,0.002375296912114022,0.23752969121140222,0.8520286396181385,2.3397814726895008,0.039014726796468405,0.16167054628630362
BIM,0.03137254901960784,8/255,blur_3_quant_64,Blur 3x3 + Quant 64,3.0,64.0,421,1.0,0.7648456057007126,320,421,1.0,0.004750593824228029,0.995249406175772,419,0.7600950118764845,76.00950118764845,0.0,0.0,0.7637231503579952,2.3397814726895008,0.035072684234379835,0.15737980990195005
BIM,0.03137254901960784,8/255,blur_5_quant_32,Blur 5x5 + Quant 32,5.0,32.0,421,0.995249406175772,0.9477434679334917,397,421,1.0,0.004750593824228029,0.995249406175772,419,0.9429928741092637,94.29928741092637,0.004750593824228044,0.47505938242280443,0.9474940334128878,2.3397814726895008,0.0359465559859342,0.16906318302330453
BIM,0.03137254901960784,8/255,blur_5_quant_64,Blur 5x5 + Quant 64,5.0,64.0,421,0.9928741092636579,0.9429928741092637,395,421,1.0,0.004750593824228029,0.995249406175772,419,0.9382422802850356,93.82422802850357,0.0071258907363420665,0.7125890736342066,0.9427207637231504,2.3397814726895008,0.03462897843433513,0.15935320667081873
PGD,0.00784313725490196,2/255,blur_3_quant_32,Blur 3x3 + Quant 32,3.0,32.0,421,0.997624703087886,0.9572446555819477,282,421,1.0,0.28741092636579574,0.7125890736342043,300,0.669833729216152,66.9833729216152,0.002375296912114022,0.23752969121140222,0.94,2.190226128265691,0.035103562845452525,0.15473420424232007
PGD,0.00784313725490196,2/255,blur_3_quant_64,Blur 3x3 + Quant 64,3.0,64.0,421,1.0,0.9501187648456056,279,421,1.0,0.28741092636579574,0.7125890736342043,300,0.66270783847981,66.270783847981,0.0,0.0,0.93,2.190226128265691,0.03485629448972448,0.1541486937268427
PGD,0.00784313725490196,2/255,blur_5_quant_32,Blur 5x5 + Quant 32,5.0,32.0,421,0.995249406175772,0.9691211401425178,287,421,1.0,0.28741092636579574,0.7125890736342043,300,0.6817102137767221,68.17102137767222,0.004750593824228044,0.47505938242280443,0.9566666666666667,2.190226128265691,0.03538028489977493,0.16238289793141433
PGD,0.00784313725490196,2/255,blur_5_quant_64,Blur 5x5 + Quant 64,5.0,64.0,421,0.9928741092636579,0.9714964370546318,288,421,1.0,0.28741092636579574,0.7125890736342043,300,0.6840855106888362,68.40855106888361,0.0071258907363420665,0.7125890736342066,0.96,2.190226128265691,0.03478218528393417,0.15710071253262886
PGD,0.01568627450980392,4/255,blur_3_quant_32,Blur 3x3 + Quant 32,3.0,32.0,421,0.997624703087886,0.9429928741092637,392,421,1.0,0.011876484560570071,0.9881235154394299,416,0.9311163895486936,93.11163895486936,0.002375296912114022,0.23752969121140222,0.9423076923076923,2.061697387099465,0.03767292158492352,0.15919524932948256
PGD,0.01568627450980392,4/255,blur_3_quant_64,Blur 3x3 + Quant 64,3.0,64.0,421,1.0,0.9382422802850356,390,421,1.0,0.011876484560570071,0.9881235154394299,416,0.9263657957244655,92.63657957244655,0.0,0.0,0.9375,2.061697387099465,0.035616389551529584,0.16213040374442847
PGD,0.01568627450980392,4/255,blur_5_quant_32,Blur 5x5 + Quant 32,5.0,32.0,421,0.995249406175772,0.9667458432304038,402,421,1.0,0.011876484560570071,0.9881235154394299,416,0.9548693586698337,95.48693586698337,0.004750593824228044,0.47505938242280443,0.9663461538461539,2.061697387099465,0.0375978622531337,0.15912470302706022
